iter	RMSE
0	2595727.987
1	2525346.293
2	2462026.957
3	2402722.446
4	2336040.577
5	2275092.368
6	2222629.45
7	2164204.149
8	2108236.87
9	2057707.394
10	2014265.369
11	1975874.022
12	1938819.282
13	1899454.924
14	1862318.624
15	1831857.628
16	1798339.375
17	1765692.813
18	1738647.508
19	1712292.943
20	1693105.075
21	1665997.012
22	1646060.475
23	1624224.621
24	1602486.046
25	1582575.774
26	1567414.285
27	1553760.137
28	1536666.03
29	1516449.846
30	1499805.034
31	1485509.353
32	1472004.44
33	1455724.628
34	1442990.945
35	1430610.438
36	1414673.373
37	1404983.998
38	1394925.203
39	1384899.875
40	1372668.066
41	1361804.215
42	1348879.272
43	1340003.374
44	1327910.846
45	1320057.765
46	1311157.758
47	1303713.127
48	1293922.139
49	1286985.656
50	1279157.92
51	1272658.781
52	1266502.181
53	1258254.465
54	1251580.432
55	1246526.921
56	1241043.842
57	1234668.916
58	1230701.903
59	1225703.128
60	1221081.703
61	1216493.999
62	1211908.359
63	1208195.978
64	1202844.716
65	1198790.981
66	1195972.144
67	1192354.788
68	1188621.939
69	1183151.089
70	1178605.195
71	1175173.996
72	1172397.573
73	1169127.116
74	1164163.659
75	1161603.131
76	1157962.403
77	1154251.33
78	1151907.359
79	1150059.974
80	1147446.74
81	1144331.016
82	1140563.57
83	1138055.754
84	1135723.616
85	1133645.324
86	1129491.371
87	1125978.845
88	1123209.339
89	1121378.555
90	1116000.48
91	1113300.413
92	1111651.488
93	1109004.74
94	1106409.294
95	1103855.459
96	1101217.494
97	1098261.562
98	1095857.618
99	1092620.33
100	1089743.39
101	1087357.995
102	1085761.287
103	1083353.375
104	1081729.243
105	1080120.504
106	1078978.007
107	1075722.117
108	1073920.24
109	1070274.113
110	1068922.198
111	1066466.455
112	1064821.528
113	1063373.093
114	1061970.285
115	1059971.351
116	1057082.831
117	1055713.103
118	1053982.017
119	1051228.321
120	1050151.421
121	1049374.451
122	1048124.541
123	1046821.036
124	1046023.931
125	1044504.683
126	1043632.229
127	1041701.145
128	1040951.448
129	1038273.519
130	1036662.289
131	1034605.432
132	1033768.712
133	1031840.929
134	1029925.43
135	1027975.835
136	1026865.733
137	1025939.776
138	1024522.149
139	1022617.792
140	1020864.042
141	1019860.457
142	1018489.634
143	1015324.766
144	1014275.175
145	1013100.778
146	1011580.521
147	1010200.939
148	1008082.486
149	1006939.797
150	1005427.434
151	1004387.515
152	1003178.943
153	1001459.496
154	1000177.692
155	998216.2025
156	997459.6919
157	996197.9144
158	994811.5386
159	993826.1164
160	992083.4533
161	990197.4012
162	989122.0246
163	988251.5873
164	986712.4544
165	984971.8384
166	983502.1976
167	981593.8713
168	980063.4978
169	978363.203
170	976562.3807
171	974858.6639
172	973776.7511
173	972425.4507
174	970790.6116
175	969431.3303
176	967638.4794
177	966174.1274
178	964736.0213
179	963761.3952
180	962704.7224
181	961469.0223
182	961002.9582
183	959377.8722
184	957785.4052
185	956599.7429
186	954857.1215
187	953651.0798
188	952577.4275
189	950732.1361
190	948777.2469
191	947672.8885
192	946754.6449
193	945592.2545
194	944736.1165
195	943796.22
196	942910.024
197	941086.5412
198	940542.6723
199	939167.5659
200	937877.9964
201	936817.0889
202	935797.0094
203	933637.8548
204	932978.1099
205	931180.9219
206	930264.8139
207	929210.3103
208	928373.7483
209	927638.0243
210	926856.7597
211	925907.1728
212	925455.0683
213	924077.7823
214	923473.93
215	922574.5435
216	921907.4661
217	920888.7717
218	919291.4236
219	917844.3283
220	917251.8274
221	916584.4511
222	915327.3432
223	914542.7294
224	912984.62
225	912277.9165
226	911382.7401
227	910362.6279
228	909440.0733
229	908552.8651
230	907443.5919
231	906449.3889
232	905946.7778
233	905627.8078
234	904258.3194
235	902779.6389
236	902292.143
237	901770.5695
238	900579.1332
239	900194.6287
240	899062.6909
241	898442.8499
242	896703.6149
243	895162.4254
244	893431.1746
245	892866.794
246	891670.3874
247	890650.5051
248	889511.131
249	888411.3349
250	888022.7889
251	887402.6235
252	886331.5695
253	885459.9946
254	884502.4119
255	883121.5996
256	881902.6792
257	881474.1875
258	880180.3962
259	879353.3879
260	878337.2233
261	877319.3388
262	876852.0439
263	875752.4146
264	875311.0443
265	873470.8541
266	872539.7452
267	871992.9731
268	871078.8213
269	870374.2605
270	869619.4117
271	868891.3794
272	868026.9906
273	867189.5421
274	866819.7363
275	865851.042
276	865349.4253
277	864101.4783
278	863234.1949
279	862714.9734
280	862380.5274
281	861784.8725
282	861297.0066
283	860012.6498
284	859369.4481
285	858835.5412
286	857864.4547
287	856917.7164
288	856281.4692
289	855425.5994
290	854210.1305
291	853541.2917
292	853160.8565
293	852286.1869
294	851401.3591
295	851027.9342
296	850472.2408
297	849657.3867
298	848535.5111
299	846902.9997
300	846183.0714
301	845601.4513
302	844786.3615
303	844171.436
304	843021.0722
305	842609.0911
306	841546.9982
307	841227.3784
308	840542.7844
309	839756.6092
310	838815.2267
311	837881.9642
312	837289.4843
313	836993.5298
314	835824.4485
315	835492.0902
316	834743.5674
317	834156.9371
318	833787.122
319	832758.7914
320	832048.3456
321	831510.7809
322	830587.4412
323	829485.1716
324	828764.0247
325	828338.2782
326	828112.033
327	827338.3338
328	826848.2004
329	826605.9324
330	825972.0711
331	825525.0306
332	825028.4751
333	824341.0151
334	823713.707
335	823179.4135
336	822616.1594
337	822228.2524
338	821531.9786
339	820673.7843
340	820006.4685
341	819349.26
342	818995.2745
343	818614.4859
344	817935.1151
345	817419.6119
346	817122.0578
347	816705.8117
348	816133.0619
349	814481.4916
350	813874.1108
351	813519.4879
352	812862.6109
353	812469.5143
354	811693.0077
355	811152.933
356	809847.9443
357	808932.1722
358	808498.9578
359	808088.3242
360	807313.7056
361	806866.6575
362	806023.4866
363	805377.4903
364	804645.219
365	804137.9904
366	803551.597
367	802944.1915
368	802284.5291
369	800807.0199
370	800341.5369
371	799911.7933
372	799347.322
373	798772.1087
374	798262.7084
375	797705.0993
376	797026.4783
377	796571.382
378	795634.1634
379	795443.2834
380	794974.9343
381	794200.2928
382	793539.6641
383	792887.0048
384	791373.7259
385	790372.9104
386	789850.0242
387	789488.6353
388	789139.4192
389	788425.1544
390	787782.7392
391	787548.1082
392	787217.3995
393	786647.3518
394	786140.5946
395	785909.7267
396	785299.2072
397	784565.9812
398	784118.3013
399	783635.0589
400	782844.3783
401	781909.8834
402	781512.3294
403	781255.6769
404	780419.4545
405	779857.4607
406	779504.946
407	778903.0275
408	777729.4473
409	777356.114
410	776762.4572
411	776471.0958
412	776187.0105
413	775879.7979
414	775689.6032
415	775390.264
416	775034.9671
417	774444.1835
418	774057.4723
419	773595.053
420	772740.8112
421	772219.0896
422	771777.5169
423	770970.9359
424	770589.3088
425	770397.9427
426	769969.2343
427	769446.9249
428	769045.8222
429	768713.9122
430	768446.7203
431	768112.5841
432	767926.3945
433	766864.0036
434	766380.1896
435	765335.0021
436	764513.3087
437	764017.2843
438	763767.6651
439	763512.4388
440	762615.8182
441	762276.6599
442	761880.8001
443	760782.7609
444	760535.193
445	760085.9536
446	759749.0537
447	759194.9637
448	758546.9182
449	758027.9756
450	757709.309
451	757122.0586
452	756486.0001
453	755803.3112
454	755573.1626
455	755068.8847
456	754506.4725
457	753991.3416
458	753601.2488
459	752903.4125
460	751973.5732
461	751572.9966
462	751195.8302
463	750913.1413
464	750308.9697
465	749942.9461
466	749471.8837
467	749225.4753
468	748621.7707
469	747830.5117
470	747176.2026
471	746619.8305
472	746124.8812
473	745839.9489
474	745283.4579
475	745046.8481
476	744709.7174
477	744287.9283
478	743631.8412
479	743191.723
480	742983.1478
481	742603.3047
482	742095.9954
483	741790.0745
484	741627.7387
485	741185.5884
486	740889.0638
487	740385.064
488	739809.9661
489	739709.8689
490	738991.0695
491	738514.852
492	737851.2771
493	737542.9199
494	737115.2194
495	736740.2842
496	736553.7266
497	736167.2815
498	735749.9344
499	735248.5213
